Grade 7 
Group A: Songs in a dramatic context 
A(i): Opera, operetta & oratorio 
	Key & range 	Composer 	Song  	Book 	Publisher & code 
Soprano 				
99  	Dm; a-f"  	Hatton 	(F) The Hag 	The Junior Recitalist book 2 (Mezzo-Soprano/ Contralto) 	Stainer D82 
100  	F; d'-f"  	Head 	A Green Cornfield 	Song Album 1: Songs of the Countryside 	Boosey M051922260 
101  	Fm; e♭-g"  	Head 	A Piper 	Song Album 1: Songs of the Countryside 	Boosey M051922260 
102  	C; g'-g"  	Head 	(F) Foxgloves 	Song Album 1: Songs of the Countryside 	Boosey M051922260 
103 	Gm;  b♭(g)-d" 	Head 	Money, O! 	Money, O! 	Boosey M060060601 
104  	D; d’-g"  	Head 	Ships of Arcady 	Over the Rim of the Moon 	Boosey M060032479 (high), M060032462 (low) 
105 	Am; a-e"  [Gm] 	Holst 	The Sergeant’s Song 	The Sergeant’s Song 	Curwen EA12610A/B 
106  	G; d'-g"  	Howells 	Gavotte 	A Century of English Song vol. 1 (Soprano) or Sing Solo: Soprano 	Thames TH978421 or OUP 9780193457805 
107  	Gm; a-d" 	 Humfrey 	Sleep Downy Sleep 	Charles Brett's Baroque Anthology for Counter-tenor vol. 2 	Green Man CB2 
108 	F; d'-g" [E♭] [D♭] 	Ireland 	If There Were Dreams to Sell 	If There Were Dreams to Sell 	Boosey M060832208 (high), M060832215 (medium), M060033773 (low) 
109  	Em; b-d"  	Ireland 	Sea Fever 	Eleven Songs or The Complete Works for Voice and Piano vol. 2 	Stainer B040 or B597 
110  	G; d'-e"  	Jacob 	(F) Mother I will Have a Husband 	A Century of English Song vol. 4 (Medium/low) 	Thames TH978614 
111  	Gm; d'-g" 	 Keats 	(M) Love’s Secret 	Love’s Secret 	Wirripang M720007007 
112  	Dm; g'-f" 	 Keats 	Plucking the Rushes 	Plucking the Rushes 	Wirripang M720007748 
113 	E♭;[C] b♭-g" 	King 	A Lullaby for You 	Singing Grade 7 from 2023 	Trinity TCL031679 / TCL031679e (high), TCL031686 / TCL031686e (low) 
114  	G; d'-d"  	L'Estrange 	(M) She Walks in Beauty 	 Love's Philosophy 	Faber 0571532152 
115  	Gm; B♭-c' 	 Lilburn 	(M) Once the Strength 	 Sings Harry 	Wai-te-ata 
116  	Cm; e♭'-g" 	 Maconchy 	Ophelia’s Song 	Ophelia’s Song 	OUP 9780193455559 
117 	C#m;  b-e"(g") 	Malashkin 	Oh Could I but Express in Song 	Oh Could I but Express in Song 	Chester CH61610 
118 	Gm;  d♭'-e♭" 	Moeran 	(M) O Fair Enough Are Sky and Plain 	The Chester Book of Celebrated Songs book 2 	Chester CH55318 
119  	G; g-e"  	Parry 	(F) Dirge in Woods 	The Junior Recitalist book 2 (Mezzo-Soprano/ Contralto) 	Stainer D82 
120  	F; c'-a"  	Parry 	(F) My Heart Is Like a Singing Bird 	Seven Songs for High Voice 	Stainer B525 
121 	G; d'-g"  [E♭] 	Purcell 	An Evening Hymn (Harmonia Sacra, Z193) 	40 Songs 	IMC 20712072(high), (low) 
122 	G; d'-f"  [E] 	Purcell 	Hark, How All Things (The Fairy Queen, Z629) 	40Songs 	IMC 20712072(high), (low) 
123 	Gm; d'-g"  [E♭m] 	Purcell 	If Music Be the Food of Love (first version: Z379A) 	40Songs 	IMC 20712072(high), (low) 
124 	Am; e'-f" [Fm] 	Purcell 	Music for a While (Oedipus, Z583) 	Singing Grade 7 from 2023 	Trinity TCL031679 / TCL031679e (high), TCL031686 / TCL031686e (low) 
125 	B♭m; e♭'-g" 	Quilter 	Autumn Evening 	55 Songs 	Hal Leonard HL00740225 (high), HL00740226 (low) 
126 	Em; e'-g" [Cm] 	Quilter 	Blow, Blow thou Winter Wind 	3 Shakespeare Songs, op. 6 	Boosey M060021893 (high), M060021886 (low) 
127 	D♭; f'-a♭" [B♭] 	Quilter 	Fair House of Joy 	7 Elizabethan Lyrics, op. 12 	Boosey M060021879 (high), M060021862 (low) 
128  	D; a-g"  	Roe 	Stop all the Clocks ('Funeral Blues') 	Seven Songs 	Thames TH978412 
129  	F#m; c#'-f#"  [Em] 	Rorem 	The Nightingale 	50 Collected Songs 	Boosey M051933952 (high), M051933969 (medium/low) 
130  	Am; d'-g" 	 Rubbra 	Hymn to the Virgin  	Two Songs 	Lengnick AL1163 
131 	F; c'-g♭" [D] 	Stanford 	The Fairy Lough  	Single edition (ebook) 	Trinity TCL032362e (high), TCL032409e (low) 
132 	Am; e'-a" 	Stove 	Love Song 	Poets Alone should Kiss and Tell 	Wirripang M720041063 
133 	D; b-d'' 	Trad., arr. Holloway 	Death and the Lady 	The Chester Book of Celebrated Songs book 2 	Chester CH55318 
134 	E♭; d♭'-f" 	Vaughan Williams 	The Bird’s Song (The Pilgrim’s Progress) 	Collected Songs vol. 3 	OUP 9780193459298 
135 	Dm; c#'-e♭" 	Warlock 	Bethlehem Down 	Bethlehem Down 	Boosey M060029141 
136  	F; c'-f"  	Warlock 	(M) Captain Stratton’s Fancy 	Songs 1920–1922: Warlock Society vol. 3 or Thirteen Songs for High Voice 	Thames TH978102 or Stainer B060 
137  	F; c'-f"  	Warlock 	The Countryman 	Warlock Songs or Songs 1923–1926: Warlock Society vol. 6 	Boosey M060029233 or Thames TH978331 
138  	Fm; e♭'-f" 	 Warlock 	The Lover’s Maze 	Songs 1927–1928: Warlock Society vol. 7 or A First Book of Songs 	Thames TH978375 or Banks OSS602 
139 	 	Yates 	No. 1 or 2 or 4 from Four Epigrams 	Four Epigrams 	Wirripang M7200041087 
Group C: German Lied 
	Key & range 	Composer  	Song  	Book 	Publisher & code 
